team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Leeds,['Everton-H'],['Arsenal-A'],['Newcastle-H'],['Fulham-A'],['Wolves-A'],['Bournemouth-H'],['Tottenham-H'],['Burnley-A'],['West Ham-H'],['Brighton-A'],"[""Nott'm Forest-A""]",['Aston Villa-H'],['Man City-A'],['Chelsea-H'],['Liverpool-H'],['Brentford-A'],['Crystal Palace-H'],['Sunderland-A'],['Liverpool-A'],['Man United-H'],['Newcastle-A'],['Fulham-H'],['Everton-A'],['Arsenal-H'],"[""Nott'm Forest-H""]",['Chelsea-A'],['Aston Villa-A'],['Man City-H'],['Sunderland-H'],['Crystal Palace-A'],['Brentford-H'],['Man United-A'],['Wolves-H'],['Bournemouth-A'],['Burnley-H'],['Tottenham-A'],['Brighton-H'],['West Ham-A']
Liverpool,['Bournemouth-H'],['Newcastle-A'],['Arsenal-H'],['Burnley-A'],['Everton-H'],['Crystal Palace-A'],['Chelsea-A'],['Man United-H'],['Brentford-A'],['Aston Villa-H'],['Man City-A'],"[""Nott'm Forest-H""]",['West Ham-A'],['Sunderland-H'],['Leeds-A'],['Brighton-H'],['Tottenham-A'],['Wolves-H'],['Leeds-H'],['Fulham-A'],['Arsenal-A'],['Burnley-H'],['Bournemouth-A'],['Newcastle-H'],['Man City-H'],['Sunderland-A'],"[""Nott'm Forest-A""]",['West Ham-H'],['Wolves-A'],['Tottenham-H'],['Brighton-A'],['Fulham-H'],['Everton-A'],['Crystal Palace-H'],['Man United-A'],['Chelsea-H'],['Aston Villa-A'],['Brentford-H']
Man City,['Wolves-A'],['Tottenham-H'],['Brighton-A'],['Man United-H'],['Arsenal-A'],['Burnley-H'],['Brentford-A'],['Everton-H'],['Aston Villa-A'],['Bournemouth-H'],['Liverpool-H'],['Newcastle-A'],['Leeds-H'],['Fulham-A'],['Sunderland-H'],['Crystal Palace-A'],['West Ham-H'],"[""Nott'm Forest-A""]",['Sunderland-A'],['Chelsea-H'],['Brighton-H'],['Man United-A'],['Wolves-H'],['Tottenham-A'],['Liverpool-A'],['Fulham-H'],['Newcastle-H'],['Leeds-A'],"[""Nott'm Forest-H""]",['West Ham-A'],,['Chelsea-A'],['Arsenal-H'],['Burnley-A'],['Everton-A'],['Brentford-H'],['Bournemouth-A'],['Aston Villa-H']
Man United,['Arsenal-H'],['Fulham-A'],['Burnley-H'],['Man City-A'],['Chelsea-H'],['Brentford-A'],['Sunderland-H'],['Liverpool-A'],['Brighton-H'],"[""Nott'm Forest-A""]",['Tottenham-A'],['Everton-H'],['Crystal Palace-A'],['West Ham-H'],['Wolves-A'],['Bournemouth-H'],['Aston Villa-A'],['Newcastle-H'],['Wolves-H'],['Leeds-A'],['Burnley-A'],['Man City-H'],['Arsenal-A'],['Fulham-H'],['Tottenham-H'],['West Ham-A'],['Everton-A'],['Crystal Palace-H'],['Newcastle-A'],['Aston Villa-H'],['Bournemouth-A'],['Leeds-H'],['Chelsea-A'],['Brentford-H'],['Liverpool-H'],['Sunderland-A'],"[""Nott'm Forest-H""]",['Brighton-A']
Newcastle,['Aston Villa-A'],['Liverpool-H'],['Leeds-A'],['Wolves-H'],['Bournemouth-A'],['Arsenal-H'],"[""Nott'm Forest-H""]",['Brighton-A'],['Fulham-H'],['West Ham-A'],['Brentford-A'],['Man City-H'],['Everton-A'],['Tottenham-H'],['Burnley-H'],['Sunderland-A'],['Chelsea-H'],['Man United-A'],['Burnley-A'],['Crystal Palace-H'],['Leeds-H'],['Wolves-A'],['Aston Villa-H'],['Liverpool-A'],['Brentford-H'],['Tottenham-A'],['Man City-A'],['Everton-H'],['Man United-H'],['Chelsea-A'],['Sunderland-H'],['Crystal Palace-A'],['Bournemouth-H'],['Arsenal-A'],['Brighton-H'],"[""Nott'm Forest-A""]",['West Ham-H'],['Fulham-A']
Nott'm Forest,['Brentford-H'],['Crystal Palace-A'],['West Ham-H'],['Arsenal-A'],['Burnley-A'],['Sunderland-H'],['Newcastle-A'],['Chelsea-H'],['Bournemouth-A'],['Man United-H'],['Leeds-H'],['Liverpool-A'],['Brighton-H'],['Wolves-A'],['Everton-A'],['Tottenham-H'],['Fulham-A'],['Man City-H'],['Everton-H'],['Aston Villa-A'],['West Ham-A'],['Arsenal-H'],['Brentford-A'],['Crystal Palace-H'],['Leeds-A'],['Wolves-H'],['Liverpool-H'],['Brighton-A'],['Man City-A'],['Fulham-H'],['Tottenham-A'],['Aston Villa-H'],['Burnley-H'],['Sunderland-A'],['Chelsea-A'],['Newcastle-H'],['Man United-A'],['Bournemouth-H']
Sunderland,['West Ham-H'],['Burnley-A'],['Brentford-H'],['Crystal Palace-A'],['Aston Villa-H'],"[""Nott'm Forest-A""]",['Man United-A'],['Wolves-H'],['Chelsea-A'],['Everton-H'],['Arsenal-H'],['Fulham-A'],['Bournemouth-H'],['Liverpool-A'],['Man City-A'],['Newcastle-H'],['Brighton-A'],['Leeds-H'],['Man City-H'],['Tottenham-A'],['Brentford-A'],['Crystal Palace-H'],['West Ham-A'],['Burnley-H'],['Arsenal-A'],['Liverpool-H'],['Fulham-H'],['Bournemouth-A'],['Leeds-A'],['Brighton-H'],['Newcastle-A'],['Tottenham-H'],['Aston Villa-A'],"[""Nott'm Forest-H""]",['Wolves-A'],['Man United-H'],['Everton-A'],['Chelsea-H']
Tottenham,['Burnley-H'],['Man City-A'],['Bournemouth-H'],['West Ham-A'],['Brighton-A'],['Wolves-H'],['Leeds-A'],['Aston Villa-H'],['Everton-A'],['Chelsea-H'],['Man United-H'],['Arsenal-A'],['Fulham-H'],['Newcastle-A'],['Brentford-H'],"[""Nott'm Forest-A""]",['Liverpool-H'],['Crystal Palace-A'],['Brentford-A'],['Sunderland-H'],['Bournemouth-A'],['West Ham-H'],['Burnley-A'],['Man City-H'],['Man United-A'],['Newcastle-H'],['Arsenal-H'],['Fulham-A'],['Crystal Palace-H'],['Liverpool-A'],"[""Nott'm Forest-H""]",['Sunderland-A'],['Brighton-H'],['Wolves-A'],['Aston Villa-A'],['Leeds-H'],['Chelsea-A'],['Everton-H']
West Ham,['Sunderland-A'],['Chelsea-H'],"[""Nott'm Forest-A""]",['Tottenham-H'],['Crystal Palace-H'],['Everton-A'],['Arsenal-A'],['Brentford-H'],['Leeds-A'],['Newcastle-H'],['Burnley-H'],['Bournemouth-A'],['Liverpool-H'],['Man United-A'],['Brighton-A'],['Aston Villa-H'],['Man City-A'],['Fulham-H'],['Brighton-H'],['Wolves-A'],"[""Nott'm Forest-H""]",['Tottenham-A'],['Sunderland-H'],['Chelsea-A'],['Burnley-A'],['Man United-H'],['Bournemouth-H'],['Liverpool-A'],['Fulham-A'],['Man City-H'],['Aston Villa-A'],['Wolves-H'],['Crystal Palace-A'],['Everton-H'],['Brentford-A'],['Arsenal-H'],['Newcastle-A'],['Leeds-H']
Wolves,['Man City-H'],['Bournemouth-A'],['Everton-H'],['Newcastle-A'],['Leeds-H'],['Tottenham-A'],['Brighton-H'],['Sunderland-A'],['Burnley-H'],['Fulham-A'],['Chelsea-A'],['Crystal Palace-H'],['Aston Villa-A'],"[""Nott'm Forest-H""]",['Man United-H'],['Arsenal-A'],['Brentford-H'],['Liverpool-A'],['Man United-A'],['West Ham-H'],['Everton-A'],['Newcastle-H'],['Man City-A'],['Bournemouth-H'],['Chelsea-H'],"[""Nott'm Forest-A"", 'Arsenal-H']",['Crystal Palace-A'],['Aston Villa-H'],['Liverpool-H'],['Brentford-A'],,['West Ham-A'],['Leeds-A'],['Tottenham-H'],['Sunderland-H'],['Brighton-A'],['Fulham-H'],['Burnley-A']
