Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
416,Bernardo,MID,Manchester City,6.2,67,1,10.81,27,1,4,1.24,2.78,4.02,21,25.1,8,180,0,14,0,3,0.52,1.09,1.61,6,11.31,13,1,1,0.72,1.69,2.41,15,13.79
663,J.Arias,MID,Wolves,4.9,45,2,9.18,23,1,0,3.38,0.62,4.0,21,16.0,2,125,0,12,1,0,2.99,0.37,3.36,12,9.8,11,0,0,0.39,0.25,0.64,9,6.2
697,Adli,MID,Bournemouth,5.4,58,4,10.74,23,3,2,2.49,1.47,3.96,14,14.34,3,104,0,12,1,0,0.99,1.11,2.1,4,3.13,11,2,2,1.5,0.36,1.86,10,11.21
386,Mac Allister,MID,Liverpool,6.2,65,3,10.48,26,1,2,2.77,1.18,3.95,24,22.39,7,153,0,13,0,2,1.68,0.77,2.45,11,11.87,13,1,0,1.09,0.41,1.5,13,10.52
17,Ødegaard,MID,Arsenal,7.8,62,5,7.95,20,1,6,1.01,2.91,3.92,11,12.89,4,81,0,9,1,2,0.71,1.1,1.81,5,5.21,11,0,4,0.3,1.81,2.11,6,7.68
90,Scott,MID,Bournemouth,5.0,95,6,19.0,27,2,2,2.58,1.31,3.89,33,33.74,7,257,0,13,1,1,0.82,0.83,1.65,13,8.76,14,1,1,1.76,0.48,2.24,20,24.98
250,Delap,FWD,Chelsea,6.2,34,1,5.48,18,1,2,3.68,0.18,3.85,13,10.79,2,25,0,10,0,2,1.84,0.06,1.9,7,6.3,8,1,0,1.84,0.12,1.95,6,4.49
613,Souček,MID,West Ham,5.7,63,6,11.05,24,3,2,3.47,0.37,3.84,28,23.65,3,132,0,13,3,2,2.94,0.18,3.12,16,9.88,11,0,0,0.53,0.19,0.72,12,13.77
560,Isidor,FWD,Sunderland,5.1,55,7,10.78,24,4,0,3.67,0.17,3.84,15,16.94,4,42,0,13,3,0,1.69,0.13,1.82,7,7.03,11,1,0,1.98,0.04,2.02,8,9.91
81,Kluivert,MID,Bournemouth,7.0,40,3,5.71,18,2,0,2.24,1.54,3.78,18,16.78,4,62,0,9,1,0,0.52,0.82,1.34,4,4.13,9,1,0,1.72,0.72,2.44,14,12.65
145,De Cuyper,DEF,Brighton,4.3,59,6,13.72,22,2,0,1.55,2.15,3.7,18,20.47,4,49,0,10,0,0,0.37,1.52,1.89,8,10.43,12,2,0,1.18,0.63,1.81,10,10.04
148,F.Kadıoğlu,DEF,Brighton,4.4,73,4,16.59,26,0,2,1.4,2.25,3.65,29,33.24,6,117,0,12,0,0,0.25,1.45,1.7,12,13.39,14,0,2,1.15,0.8,1.95,17,19.85
388,C.Jones,MID,Liverpool,5.4,46,1,8.52,24,0,2,1.38,2.27,3.65,21,18.75,3,129,0,12,0,2,0.45,1.21,1.66,8,7.17,12,0,0,0.93,1.06,1.99,13,11.58
166,Ayari,MID,Brighton,4.8,83,7,17.29,21,3,3,2.54,1.07,3.61,21,24.57,5,200,0,9,2,1,1.39,0.66,2.05,6,8.89,12,1,2,1.15,0.41,1.56,15,15.68
48,Tielemans,MID,Aston Villa,5.9,52,3,8.81,17,0,4,0.97,2.53,3.5,17,23.03,4,138,0,8,0,2,0.61,1.31,1.92,7,9.13,9,0,2,0.36,1.22,1.58,10,13.9
271,Kamada,MID,Crystal Palace,5.0,49,0,9.8,17,0,2,1.42,2.01,3.43,14,14.98,6,143,0,9,0,1,0.97,1.27,2.24,10,7.6,8,0,1,0.45,0.74,1.19,4,7.38
440,Dalot,DEF,Manchester Utd,4.5,93,9,20.67,25,1,6,1.37,2.04,3.41,30,26.12,6,132,0,12,1,5,0.96,1.36,2.32,11,11.17,13,0,1,0.41,0.68,1.09,19,14.95
36,Cash,DEF,Aston Villa,4.9,101,6,20.61,25,3,2,1.04,2.37,3.41,23,33.22,7,142,0,13,2,1,0.7,1.08,1.78,10,14.03,12,1,1,0.34,1.29,1.63,13,19.19
684,Thiaw,DEF,Newcastle Utd,5.0,100,11,20.0,24,4,0,2.66,0.73,3.39,36,30.52,4,208,0,12,1,0,1.39,0.37,1.76,17,15.37,12,3,0,1.27,0.36,1.63,19,15.15
497,L.Miley,MID,Newcastle Utd,4.5,58,4,12.89,19,1,3,1.36,2.0,3.36,16,13.65,2,123,0,9,0,1,0.95,1.1,2.05,11,8.38,10,1,2,0.41,0.9,1.31,5,5.27
709,Krejčí,DEF,Wolves,4.5,55,0,12.22,22,2,1,1.97,1.35,3.32,35,29.52,3,153,0,10,1,1,1.48,0.85,2.33,17,13.3,12,1,0,0.49,0.5,0.99,18,16.22
568,Pedro Porro,DEF,Tottenham,5.1,79,4,15.49,23,0,3,0.48,2.81,3.29,24,25.39,7,136,0,11,0,1,0.19,1.67,1.86,12,10.08,12,0,2,0.29,1.14,1.43,12,15.31
441,Dorgu,DEF,Manchester Utd,4.2,74,8,17.62,22,3,3,1.86,1.42,3.28,20,18.78,3,95,0,10,2,1,0.9,0.64,1.54,7,6.39,12,1,2,0.96,0.78,1.74,13,12.39
491,Tonali,MID,Newcastle Utd,5.3,63,1,11.89,27,0,1,1.5,1.78,3.28,27,23.65,7,197,0,13,0,1,1.32,0.72,2.04,13,12.01,14,0,0,0.18,1.06,1.24,14,11.64
291,Tarkowski,DEF,Everton,5.7,118,6,20.7,27,0,1,1.91,1.31,3.22,31,39.41,9,287,0,14,0,1,0.88,0.8,1.68,19,19.68,13,0,0,1.03,0.51,1.54,12,19.73
225,James,DEF,Chelsea,5.6,103,9,18.39,24,2,5,0.86,2.32,3.18,16,24.92,8,111,0,13,0,3,0.32,1.23,1.55,9,12.94,11,2,2,0.54,1.09,1.63,7,11.98
7,Calafiori,DEF,Arsenal,5.6,86,4,15.36,20,1,2,2.77,0.4,3.17,8,7.79,10,91,0,8,0,2,1.05,0.19,1.24,2,2.57,12,1,0,1.72,0.21,1.93,6,5.22
633,H.Bueno,DEF,Wolves,4.3,65,4,15.12,25,1,2,0.5,2.65,3.15,30,27.99,3,132,0,12,1,1,0.23,1.21,1.44,13,12.24,13,0,1,0.27,1.44,1.71,17,15.75
575,Van de Ven,DEF,Tottenham,4.5,100,10,22.22,25,4,1,2.79,0.34,3.13,37,34.99,7,171,0,13,0,1,1.11,0.24,1.35,20,17.43,12,4,0,1.68,0.1,1.78,17,17.56
588,Odobert,MID,Tottenham,5.3,46,6,8.68,24,0,2,1.92,1.21,3.13,13,14.24,2,77,0,13,0,1,1.21,0.55,1.76,4,7.1,11,0,1,0.71,0.66,1.37,9,7.14
