Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
691,Calvert-Lewin,FWD,Leeds United,5.8,13,1,2.24,4,1,0,1.21,0.07,1.28,6,5.06,0,15,0,0,2,1,0.33,0.01,0.34,4,3.0,2,0,0,0.88,0.06,0.94,2,2.06
515,Gibbs-White,MID,Nott'ham Forest,7.3,21,1,2.88,5,1,1,0.92,0.35,1.27,4,7.72,3,25,0,0,3,1,0.84,0.24,1.08,1,3.41,2,0,1,0.08,0.11,0.19,3,4.31
266,Eze,MID,Arsenal,7.2,18,2,2.5,5,2,0,0.94,0.33,1.27,2,0.98,0,13,0,0,1,0,0.06,0.01,0.07,0,0.02,4,2,0,0.88,0.32,1.2,2,0.96
260,Guéhi,DEF,Manchester City,5.2,21,1,4.04,5,0,0,0.71,0.51,1.22,4,4.91,2,43,0,0,3,0,0.07,0.44,0.51,1,2.65,2,0,0,0.64,0.07,0.71,3,2.26
706,Justin,DEF,Leeds United,3.9,18,3,4.62,5,1,1,0.6,0.61,1.21,7,6.7,0,33,0,1,2,0,0.14,0.59,0.73,3,1.51,3,1,0,0.46,0.02,0.48,4,5.19
250,Delap,FWD,Chelsea,6.2,9,0,1.45,5,0,1,1.21,0.01,1.21,4,2.82,0,6,0,1,3,0,1.13,0.01,1.14,3,1.59,2,0,0,0.08,0.0,0.07,1,1.23
373,Virgil,DEF,Liverpool,6.0,41,5,6.83,5,2,1,1.1,0.08,1.18,6,7.44,2,54,0,0,2,0,0.05,0.03,0.08,3,3.27,3,2,1,1.05,0.05,1.1,3,4.17
100,Kroupi.Jr,FWD,Bournemouth,4.7,13,1,2.77,5,1,0,0.75,0.42,1.17,2,5.92,2,21,0,0,2,0,0.64,0.03,0.67,2,1.16,3,1,0,0.11,0.39,0.5,0,4.76
596,Solanke,FWD,Tottenham,7.2,19,3,2.64,5,2,0,1.0,0.17,1.17,8,7.35,0,25,0,0,3,2,0.52,0.12,0.64,5,4.82,2,0,0,0.48,0.05,0.53,3,2.53
387,Szoboszlai,MID,Liverpool,6.8,29,6,4.26,4,2,1,0.19,0.96,1.15,6,6.73,1,42,0,0,2,1,0.14,0.35,0.49,3,3.19,2,1,1,0.05,0.61,0.66,3,3.54
411,O'Reilly,DEF,Manchester City,5.0,39,4,7.8,5,3,0,0.89,0.24,1.13,4,4.91,2,21,0,0,3,3,0.85,0.19,1.04,1,2.65,2,0,0,0.04,0.05,0.09,3,2.26
584,Tel,MID,Tottenham,6.2,5,0,0.81,5,0,0,0.88,0.25,1.13,4,2.89,0,14,0,0,3,0,0.55,0.24,0.79,3,2.17,2,0,0,0.33,0.01,0.34,1,0.72
241,Caicedo,MID,Chelsea,5.7,13,1,2.28,5,0,0,0.27,0.84,1.11,6,5.15,1,58,0,0,3,0,0.14,0.78,0.92,5,3.41,2,0,0,0.13,0.06,0.19,1,1.74
384,Gakpo,MID,Liverpool,7.3,14,0,1.92,5,0,0,0.25,0.86,1.11,4,4.75,2,35,0,0,2,0,0.03,0.38,0.41,2,2.17,3,0,0,0.22,0.48,0.7,2,2.58
72,Senesi,DEF,Bournemouth,4.9,20,0,4.08,5,0,0,0.68,0.42,1.1,4,8.96,2,45,0,0,2,0,0.56,0.39,0.95,3,1.37,3,0,0,0.12,0.03,0.15,1,7.59
64,Watkins,FWD,Aston Villa,8.6,14,2,1.63,4,1,0,0.94,0.15,1.09,2,5.63,2,11,0,0,2,0,0.27,0.06,0.33,1,1.74,2,1,0,0.67,0.09,0.76,1,3.89
491,Tonali,MID,Newcastle Utd,5.3,11,0,2.08,5,0,0,0.82,0.25,1.07,10,6.37,0,43,0,0,2,0,0.79,0.06,0.85,4,2.36,3,0,0,0.03,0.19,0.22,6,4.01
20,Trossard,MID,Arsenal,6.8,14,0,2.06,5,0,1,0.56,0.51,1.07,2,1.82,2,31,0,1,1,0,0.14,0.19,0.33,0,0.17,4,0,0,0.42,0.32,0.74,2,1.65
270,Hughes,MID,Crystal Palace,4.7,6,0,1.28,5,0,0,0.34,0.72,1.06,1,2.82,1,25,0,0,3,0,0.04,0.2,0.24,0,1.48,2,0,0,0.3,0.52,0.82,1,1.34
456,Sancho,MID,Aston Villa,5.8,10,0,1.72,5,0,1,0.2,0.85,1.05,2,5.02,0,15,0,0,3,0,0.11,0.79,0.9,1,1.47,2,0,1,0.09,0.06,0.15,1,3.55
684,Thiaw,DEF,Newcastle Utd,5.0,16,1,3.2,5,1,0,0.75,0.29,1.04,12,8.43,0,37,0,0,2,0,0.19,0.09,0.28,5,2.95,3,1,0,0.56,0.2,0.76,7,5.48
654,Strand Larsen,FWD,Crystal Palace,6.2,18,3,2.9,5,2,0,0.94,0.1,1.04,4,4.1,2,17,0,0,3,2,0.57,0.05,0.62,4,3.07,2,0,0,0.37,0.05,0.42,0,1.03
475,Botman,DEF,Newcastle Utd,4.9,12,0,2.45,3,1,0,1.01,0.03,1.04,6,4.8,0,32,0,0,2,1,0.32,0.03,0.35,5,2.95,1,0,0,0.69,0.0,0.69,1,1.85
712,Yeremy,MID,Crystal Palace,5.8,7,0,1.21,5,0,0,0.41,0.63,1.04,1,2.79,1,16,0,0,3,0,0.41,0.46,0.87,0,1.65,2,0,0,0.0,0.17,0.17,1,1.14
633,H.Bueno,DEF,Wolves,4.3,15,0,3.49,5,1,0,0.08,0.94,1.02,7,9.36,0,33,0,0,3,1,0.08,0.48,0.56,6,5.86,2,0,0,0.0,0.46,0.46,1,3.5
50,Buendía,MID,Aston Villa,5.3,16,1,3.02,5,1,0,0.72,0.29,1.01,3,5.29,1,37,0,0,3,0,0.51,0.2,0.71,2,1.62,2,1,0,0.21,0.09,0.3,1,3.67
