Player ID,Name,Pos,Team,Cost,opponent,team_Oi,opponent_Di,xGI,projected GI,team_Di,opponent_Oi,xGc,projected Gc,projected net goals
318,Bassey,DEF,Fulham,4.5,Wolves,0.83,1.39,0.004,0.01,1.39,0.69,1.108,0.76,-0.75
621,Irving,MID,West Ham,4.4,Newcastle Utd,0.42,0.69,0.01,0.01,1.25,0.83,1.0666666666666667,0.89,-0.88
637,Toti,DEF,Wolves,4.3,Fulham,0.69,1.39,0.005,0.01,1.39,0.83,0.27,0.22,-0.21
474,Schär,DEF,Newcastle Utd,5.4,West Ham,0.83,1.25,0.01,0.01,0.69,0.42,0.18,0.08,-0.07
320,Diop,DEF,Fulham,4.4,Wolves,0.83,1.39,0.006666666666666667,0.01,1.39,0.69,1.3533333333333333,0.93,-0.92
685,Diakité,DEF,Bournemouth,4.5,Manchester City,1.39,0.42,0.0175,0.01,0.83,1.25,1.825,2.28,-2.27
44,Bogarde,DEF,Aston Villa,4.0,Liverpool,1.25,1.39,0.01,0.01,0.56,0.97,0.39666666666666667,0.38,-0.37
287,Pickford,GK,Everton,5.5,Sunderland,0.56,0.56,0.01,0.01,1.25,0.83,1.638,1.36,-1.35
191,Estève,DEF,Burnley,4.0,Arsenal,1.11,0.28,0.03,0.01,1.39,0.97,1.9300000000000002,1.87,-1.86
722,Florentino,MID,Burnley,5.0,Arsenal,1.11,0.28,0.026000000000000002,0.01,1.39,0.97,1.92,1.86,-1.85
697,Adli,MID,Bournemouth,5.5,Manchester City,1.39,0.42,0.03,0.01,0.83,1.25,0.88,1.1,-1.09
253,Henderson,GK,Crystal Palace,5.0,Brentford,1.11,0.97,0.012,0.01,1.11,1.25,1.588,1.98,-1.97
59,Onana,MID,Aston Villa,4.8,Liverpool,1.25,1.39,0.01,0.01,0.56,0.97,0.5866666666666667,0.57,-0.56
511,Morato,DEF,Nott'ham Forest,4.4,Manchester Utd,0.14,0.97,0.015,0.01,1.25,1.53,1.285,1.97,-1.96
