season,game,round,week,date,home_team,away_team,home_score,away_score,game_id
2526,2026-01-17 Osasuna-Oviedo,20,20,2026-01-17 17:30:00+00:00,Osasuna,Oviedo,3.0,2.0,14083232
2526,2026-01-17 Real Madrid-Levante,20,20,2026-01-17 13:00:00+00:00,Real Madrid,Levante,2.0,0.0,14083238
2526,2026-01-18 Ath Madrid-Alaves,20,20,2026-01-18 15:15:00+00:00,Ath Madrid,Alaves,1.0,0.0,14083233
2526,2026-01-18 Celta-Vallecano,20,20,2026-01-18 17:30:00+00:00,Celta,Vallecano,3.0,0.0,14083226
2526,2026-01-18 Getafe-Valencia,20,20,2026-01-18 13:00:00+00:00,Getafe,Valencia,0.0,1.0,14083230
2526,2026-01-18 Sociedad-Barcelona,20,20,2026-01-18 20:00:00+00:00,Sociedad,Barcelona,2.0,1.0,14083237
2526,2026-01-19 Elche-Sevilla,20,20,2026-01-19 20:00:00+00:00,Elche,Sevilla,2.0,2.0,14083228
2526,2026-01-23 Levante-Elche,21,21,2026-01-23 20:00:00+00:00,Levante,Elche,3.0,2.0,14083146
2526,2026-01-24 Sevilla-Ath Bilbao,21,21,2026-01-24 17:30:00+00:00,Sevilla,Ath Bilbao,2.0,1.0,14083127
2526,2026-01-24 Valencia-Espanol,21,21,2026-01-24 15:15:00+00:00,Valencia,Espanol,3.0,2.0,14083156
2526,2026-01-24 Vallecano-Osasuna,21,21,2026-01-24 13:00:00+00:00,Vallecano,Osasuna,1.0,3.0,14083176
2526,2026-01-24 Villarreal-Real Madrid,21,21,2026-01-24 20:00:00+00:00,Villarreal,Real Madrid,0.0,2.0,14083186
2526,2026-01-25 Alaves-Betis,21,21,2026-01-25 20:00:00+00:00,Alaves,Betis,2.0,1.0,14083096
2526,2026-01-25 Ath Madrid-Mallorca,21,21,2026-01-25 13:00:00+00:00,Ath Madrid,Mallorca,3.0,0.0,14083107
2526,2026-01-25 Barcelona-Oviedo,21,21,2026-01-25 15:15:00+00:00,Barcelona,Oviedo,3.0,0.0,14083117
2526,2026-01-25 Sociedad-Celta,21,21,2026-01-25 17:30:00+00:00,Sociedad,Celta,3.0,1.0,14083136
2526,2026-01-26 Girona-Getafe,21,21,2026-01-26 20:00:00+00:00,Girona,Getafe,1.0,1.0,14083166
2526,2026-01-30 Espanol-Alaves,22,22,2026-01-30 20:00:00+00:00,Espanol,Alaves,1.0,2.0,14083236
2526,2026-01-31 Elche-Barcelona,22,22,2026-01-31 20:00:00+00:00,Elche,Barcelona,1.0,3.0,14083244
2526,2026-01-31 Levante-Ath Madrid,22,22,2026-01-31 17:30:00+00:00,Levante,Ath Madrid,0.0,0.0,14083241
