Player ID,Name,Pos,Team,Cost,opponent,team_Oi,opponent_Di,xGI,projected GI,team_Di,opponent_Oi,xGc,projected Gc,projected net goals
473,Hall,DEF,Newcastle Utd,5.5,Leeds United,0.77,1.92,0.0,0.0,1.15,0.38,0.37,0.14,-0.14
407,Matheus N.,DEF,Manchester City,5.4,Brighton,1.54,1.15,0.0,0.0,0.77,0.38,0.21,0.08,-0.08
636,S.Bueno,DEF,Wolves,4.5,Everton,0.0,0.38,0.0,0.0,1.92,0.77,0.46,0.35,-0.35
389,Elliott,MID,Liverpool,5.4,Arsenal,2.69,0.0,0.0,0.0,1.54,2.31,0.0,0.0,0.0
352,Harrison,MID,Leeds United,5.4,Newcastle Utd,0.38,1.15,0.0,0.0,1.92,0.77,0.28,0.22,-0.22
326,Adama,MID,Fulham,5.4,Chelsea,0.77,0.38,0.0,0.0,0.77,1.92,0.43,0.83,-0.83
10,Lewis-Skelly,DEF,Arsenal,5.4,Liverpool,2.31,1.54,0.0,0.0,0.0,2.69,0.33,0.89,-0.89
684,Thiaw,DEF,Newcastle Utd,5.0,Leeds United,0.77,1.92,0.0,0.0,1.15,0.38,0.37,0.14,-0.14
551,Rigg,MID,Sunderland,5.0,Brentford,1.15,1.15,0.0,0.0,0.77,0.77,0.03,0.02,-0.02
376,Gomez,DEF,Liverpool,5.0,Arsenal,2.69,0.0,0.0,0.0,1.54,2.31,0.21,0.49,-0.49
285,Édouard,FWD,Crystal Palace,5.0,Aston Villa,0.38,0.38,0.0,0.0,0.38,0.0,0.27,0.0,0.0
206,Edwards,MID,Burnley,5.0,Manchester Utd,0.77,0.77,0.0,0.0,1.15,0.38,0.0,0.0,0.0
33,M.Bizot,GK,Aston Villa,4.5,Crystal Palace,0.0,0.38,0.0,0.0,0.38,0.38,1.43,0.54,-0.54
665,Perri,GK,Leeds United,4.5,Newcastle Utd,0.38,1.15,0.0,0.0,1.92,0.77,1.715,1.32,-1.32
670,Roefs,GK,Sunderland,4.5,Brentford,1.15,1.15,0.0,0.0,0.77,0.77,0.78,0.6,-0.6
253,Henderson,GK,Crystal Palace,5.0,Aston Villa,0.38,0.38,0.0,0.0,0.38,0.0,1.265,0.0,0.0
373,Virgil,DEF,Liverpool,6.0,Arsenal,2.69,0.0,0.095,0.0,1.54,2.31,1.315,3.04,-3.04
101,Kelleher,GK,Brentford,4.5,Sunderland,0.77,0.77,0.005,0.0,1.15,1.15,1.525,1.75,-1.75
72,Senesi,DEF,Bournemouth,4.5,Tottenham,1.15,0.0,0.03,0.0,1.54,1.92,1.335,2.56,-2.56
190,Ekdal,DEF,Burnley,4.0,Manchester Utd,0.77,0.77,0.005,0.0,1.15,0.38,1.545,0.59,-0.59
388,C.Jones,MID,Liverpool,5.4,Arsenal,2.69,0.0,0.03,0.0,1.54,2.31,0.57,1.32,-1.32
370,Frimpong,DEF,Liverpool,5.9,Arsenal,2.69,0.0,0.02,0.0,1.54,2.31,0.81,1.87,-1.87
697,Adli,MID,Bournemouth,5.5,Tottenham,1.15,0.0,0.02,0.0,1.54,1.92,0.06,0.12,-0.12
661,Ekitiké,FWD,Liverpool,8.6,Arsenal,2.69,0.0,0.715,0.0,1.54,2.31,1.135,2.62,-2.62
385,Chiesa,MID,Liverpool,6.5,Arsenal,2.69,0.0,0.08,0.0,1.54,2.31,0.08,0.18,-0.18
642,Hee Chan,MID,Wolves,6.0,Everton,0.0,0.38,0.01,0.0,1.92,0.77,0.175,0.13,-0.13
74,Truffert,DEF,Bournemouth,4.5,Tottenham,1.15,0.0,0.085,0.0,1.54,1.92,1.335,2.56,-2.56
643,André,MID,Wolves,5.5,Everton,0.0,0.38,0.01,0.0,1.92,0.77,1.395,1.07,-1.07
321,J.Cuenca,DEF,Fulham,4.5,Chelsea,0.77,0.38,0.01,0.0,0.77,1.92,1.07,2.05,-2.05
387,Szoboszlai,MID,Liverpool,6.5,Arsenal,2.69,0.0,0.1,0.0,1.54,2.31,1.315,3.04,-3.04
386,Mac Allister,MID,Liverpool,6.5,Arsenal,2.69,0.0,0.05,0.0,1.54,2.31,1.49,3.44,-3.44
